date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:40	119/119	---M-Z	200	added ('OK')	text/plain	date:Wed,%2008%20Oct%202025%2018:32:40%20GMT	https://profpicksandscience.site/robots.txt		(from )
10:32:41	111817/111817	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2018:32:40%20GMT	https://profpicksandscience.site/	C:/My%20Web%20Sites/newsite/profpicksandscience.site/index.html	(from )
10:32:41	53499/53499	---M-Z	200	added ('OK')	text/css	etag:%22d0fb-6859b52e-6de82cadc93d61c9;gz%22	https://profpicksandscience.site/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1750709550	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/uploads/elementor/css/custom-frontend.mindb25.css	(from https://profpicksandscience.site/)
10:32:41	1107/1107	---M-Z	200	added ('OK')	application/rss+xml	etag:%2261e348cd345de44ecb902e1ff5b52d24%22	https://profpicksandscience.site/feed/	C:/My%20Web%20Sites/newsite/profpicksandscience.site/feed/index.html	(from https://profpicksandscience.site/)
10:32:42	762/762	---M-Z	200	added ('OK')	application/rss+xml	etag:%2261e348cd345de44ecb902e1ff5b52d24%22	https://profpicksandscience.site/comments/feed/	C:/My%20Web%20Sites/newsite/profpicksandscience.site/comments/feed/index.html	(from https://profpicksandscience.site/)
10:32:42	115813/115813	---M-Z	200	added ('OK')	text/css	etag:%221c465-6859b52f-3d8125fcc8f06060;gz%22	https://profpicksandscience.site/wp-content/uploads/elementor/css/post-560.css?ver=1750709551	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/uploads/elementor/css/post-5608425.css	(from https://profpicksandscience.site/)
10:32:42	13839/13839	---M-Z	200	added ('OK')	text/css	etag:%22360f-6859b52f-192e49de742bca9c;gz%22	https://profpicksandscience.site/wp-content/uploads/elementor/css/post-325.css?ver=1750709551	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/uploads/elementor/css/post-3258425.css	(from https://profpicksandscience.site/)
10:32:42	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-68592b57-747cc68ebc989403;;;%22	https://profpicksandscience.site/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.29.2	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/plugins/elementor/assets/css/widget-image.min2801.css	(from https://profpicksandscience.site/)
10:32:43	4382/4382	---M-Z	200	added ('OK')	text/css	etag:%22111e-6859b52f-b419373f4d377a7d;gz%22	https://profpicksandscience.site/wp-content/uploads/elementor/css/post-326.css?ver=1750709551	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/uploads/elementor/css/post-3268425.css	(from https://profpicksandscience.site/)
10:32:43	12984/12984	---M-Z	200	added ('OK')	text/css	etag:%2232b8-6652163c-95aea007cc5728c7;gz%22	https://profpicksandscience.site/wp-content/themes/royal-elementor-kit/style.css?ver=1.0	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/themes/royal-elementor-kit/style5152.css	(from https://profpicksandscience.site/)
10:32:43	1225/1225	---M-Z	200	added ('OK')	text/css	etag:%224c9-6859b52f-a26e1c92bf699c2e;gz%22	https://profpicksandscience.site/wp-content/uploads/elementor/css/post-6.css?ver=1750709551	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/uploads/elementor/css/post-68425.css	(from https://profpicksandscience.site/)
10:32:44	455914/455914	---M-Z	200	added ('OK')	text/css	etag:%226f4ea-6859b52f-2ac75771209ca0d2;gz%22	https://profpicksandscience.site/wp-content/uploads/elementor/css/custom-pro-frontend.min.css?ver=1750709551	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/uploads/elementor/css/custom-pro-frontend.min8425.css	(from https://profpicksandscience.site/)
10:32:44	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-68592b57-a22836a45c569676;gz%22	https://profpicksandscience.site/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.29.2	C:/My%20Web%20Sites/newsite/profpicksandscience.site/wp-content/plugins/elementor/assets/css/widget-heading.min2801.css	(from https://profpicksandscience.site/)
